"Index"
"(B1 - B3) * (B1) / (B3)"
"(B1 - B3) / (B1 + B3)"
"(B1 - B3) / (B1 - B3)"
"(B1 - B3) / (B1) * (B3)"
"(B1 - B3) / (B1) / (B3)"
"(B1) * (B3)"
"B1 * (B3 + B1) + B3"
"B1 * (B3 + B1) - B3"
"B1 * (B3 + B1) * B3"
"B1 * (B3 + B1) / B3"
"B1 * (B3 - B1) + B3"
"B1 * (B3 - B1) - B3"
"B1 * (B3 - B1) * B3"
"B1 * (B3 - B1) / B3"
"(B1) * (B3) * (B1 + B3)"
"(B1) * (B3) * (B1 - B3)"
"(B1) * (B3) * (B1) * (B3)"
"(B1) * (B3) * (B1) / (B3)"
"(B1) * (B3) / (B1 + B3)"
"(B1) * (B3) / (B1 - B3)"
"(B1) * (B3) / (B1) * (B3)"
"(B1) * (B3) / (B1) / (B3)"
"(B1) / (B3)"
"B1 / (B3 + B1) + B3"
"B1 / (B3 + B1) - B3"
"B1 / (B3 + B1) * B3"
"B1 / (B3 + B1) / B3"
"B1 / (B3 - B1) + B3"
"B1 / (B3 - B1) - B3"
"B1 / (B3 - B1) * B3"
"B1 / (B3 - B1) / B3"
"(B1) / (B3) * (B1 + B3)"
"(B1) / (B3) * (B1 - B3)"
"(B1) / (B3) * (B1) * (B3)"
"(B1) / (B3) * (B1) / (B3)"
"(B1) / (B3) / (B1 + B3)"
"(B1) / (B3) / (B1 - B3)"
"(B1) / (B3) / (B1) * (B3)"
"(B1) / (B3) / (B1) / (B3)"
"(B3 + B1)"
"(B3 + B1) + (B3 + B1)"
"(B3 + B1) + (B3 - B1)"
"(B3 + B1) + (B3) * (B1)"
"(B3 + B1) + (B3) / (B1)"
"(B3 + B1) - (B3 + B1)"
"(B3 + B1) - (B3 - B1)"
"(B3 + B1) - (B3) * (B1)"
"(B3 + B1) - (B3) / (B1)"
"(B3 + B1) * (B3 + B1)"
"(B3 + B1) * (B3 - B1)"
"(B3 + B1) * (B3) * (B1)"
"(B3 + B1) * (B3) / (B1)"
"(B3 + B1) / (B3 + B1)"
"(B3 + B1) / (B3 - B1)"
"(B3 + B1) / (B3) * (B1)"
"(B3 + B1) / (B3) / (B1)"
"(B3 - B1)"
"(B3 - B1) + (B3 + B1)"
"(B3 - B1) + (B3 - B1)"
"(B3 - B1) + (B3) * (B1)"
"(B3 - B1) + (B3) / (B1)"
"(B3 - B1) - (B3 + B1)"
